"player","yrs_in_school","school","conf","g","comp","att","pct","yds","yds_per_att","td","int","adj_yds_per_att","rate","rush_att","rush_yds","rush_avg","rush_td","major_conf"
"Brandon Streeter",4,"Clemson","ACC",26,294,519,0.566473988,3504,6.751445087,17,26,5.1522158,114.1495183,91,52,0.6,4,"1"
"Brandon Weeden",4,"Oklahoma State","Big 12",30,767,1103,0.695376247,9260,8.395285585,75,27,8.653671804,157.6010879,39,-150,-3.8,1,"1"
"Brandon Wimbush",2,"Notre Dame","Ind",14,139,280,0.496428571,1887,6.739285714,16,6,6.917857143,120.8242857,147,900,6.1,15,"1"
"Branndon Stewart",3,"Texas A&M","Big 12",37,325,623,0.521669342,4325,6.942215088,26,13,6.83788122,120.0802568,148,-157,-1.1,5,"1"
"Brendon Kay",5,"Cincinnati","American",30,354,541,0.654343808,4647,8.589648799,32,14,8.608133087,151.9312384,129,503,3.9,8,"0"
"Brent Baldwin",4,"Ball State","MAC",44,342,597,0.572864322,4256,7.128978224,35,20,6.793969849,129.8164154,277,387,1.4,7,"0"
"Brent Pettus",4,"Arkansas State","Ind",36,160,315,0.507936508,1586,5.034920635,9,18,3.034920635,91.08698413,52,-82,-1.6,1,"0"
"Brent Schaeffer",3,"Ole Miss","SEC",26,168,374,0.449197861,2322,6.20855615,16,15,5.259358289,103.1679144,160,321,2,3,"1"
"Brent Snyder",2,"Utah State","Big West",22,472,874,0.540045767,6105,6.985125858,39,35,6.075514874,119.395881,166,-177,-1.1,4,"0"
"Brent Stockstill",4,"Middle Tennessee State","CUSA",31,728,1145,0.63580786,8939,7.8069869,77,25,8.169432314,146.9848035,144,324,2.3,2,"0"
"Bret Johnson",1,"UCLA","Pac-10",11,145,252,0.575396825,1791,7.107142857,12,13,5.738095238,122.6365079,64,11,0.2,1,"1"
"Bret Meyer",4,"Iowa State","Big 12",48,820,1414,0.579915134,9499,6.717821782,50,41,6.120226308,120.2910891,509,923,1.8,12,"1"
"Bret Oberg",2,"Iowa State","Big 8",22,251,424,0.591981132,3602,8.495283019,15,24,6.655660377,130.9122642,212,325,1.5,5,"0"
"Bret Powers",2,"Arizona State","Pac-10",22,150,283,0.530035336,1777,6.279151943,8,15,4.459363958,104.4763251,37,-186,-5,1,"1"
"Bret Stafford",4,"Texas","SWC",37,378,718,0.526462396,4731,6.58913649,23,35,5.036211699,108.8167131,267,643,2.4,12,"0"
"Brett Basanez",4,"Northwestern","Big Ten",47,913,1584,0.576388889,10580,6.679292929,44,36,6.212121212,118.3661616,391,996,2.5,18,"1"
"Brett Favre",4,"Southern Mississippi","Ind",44,613,1169,0.524379812,7695,6.582549187,52,34,6.163387511,116.5936698,193,-89,-0.5,1,"0"
"Brett Hodges",4,"UCF","CUSA",24,243,399,0.609022556,2840,7.117794486,18,16,6.215538847,127.5588972,76,-31,-0.4,2,"0"
"Brett Hodges",1,"UCF","CUSA",12,197,329,0.598784195,2438,7.410334347,17,13,6.665653495,131.2741641,59,-18,-0.3,1,"0"
"Brett Hundley",3,"UCLA","Pac-12",40,837,1241,0.674456084,9966,8.030620467,75,25,8.332796132,150.8174053,479,1747,3.6,30,"1"
"Brett Ratliff",2,"Utah","MWC",18,276,468,0.58974359,3438,7.346153846,31,11,7.613247863,137.8401709,120,361,3,2,"0"
"Brett Rypien",3,"Boise State","MWC",37,734,1170,0.627350427,9873,8.438461538,60,22,8.617948718,146.7805128,126,-114,-0.9,3,"0"
"Brett Sadek",2,"Iowa State","Big 8",21,129,251,0.513944223,1622,6.462151394,10,6,6.183266932,114.0430279,95,26,0.3,3,"0"
"Brett Smith",3,"Wyoming","MWC",35,751,1212,0.619636964,8834,7.288778878,76,28,7.50330033,139.2620462,378,1531,4.1,20,"0"
"Brian Anderson",4,"Marshall","CUSA",36,483,849,0.568904594,5403,6.363957597,37,32,5.539458186,117.1910483,123,105,0.9,1,"0"
"Brian Brennan",2,"Idaho","Big West",11,218,387,0.563307494,2708,6.997416021,19,5,7.397932817,128.726615,47,-37,-0.8,1,"0"
"Brian Brohm",4,"Louisville","Big East",44,780,1185,0.658227848,10775,9.092827004,71,24,9.379746835,157.9240506,172,44,0.3,9,"1"
"Brian Broomell",4,"Temple","Ind",33,263,500,0.526,3902,7.804,35,31,6.414,128.8536,220,657,3,9,"0"
"Brian Burrell",2,"Fresno State","MWC",19,259,444,0.583333333,2671,6.015765766,22,18,5.182432432,117.109009,115,370,3.2,4,"0"
"Brian Conn",4,"Ball State","MAC",37,202,381,0.530183727,2032,5.333333333,12,20,3.601049869,97.71338583,137,-9,-0.1,1,"0"
"Brian Griese",3,"Michigan","Big Ten",33,307,516,0.59496124,3663,7.098837209,27,15,6.837209302,130.579845,85,-81,-1,4,"1"
"Brian Hoyer",4,"Michigan State","Big Ten",39,500,896,0.558035714,6159,6.873883929,35,23,6.5,121.3008929,105,-229,-2.2,2,"1"
"Brian Johnson",4,"Utah","MWC",44,673,1017,0.661750246,7853,7.72173058,57,27,7.647984267,144.2234022,366,848,2.3,12,"0"
"Brian Johnson",3,"Stanford","Pac-10",27,279,491,0.568228106,3334,6.790224033,18,26,5.140529532,115.3678208,112,-186,-1.7,5,"1"
"Brian Jones",2,"Toledo","MAC",19,314,456,0.688596491,3639,7.980263158,26,12,7.936403509,149.4464912,92,399,4.3,5,"0"
"Brian Kavanagh",4,"Kansas State","Big 12",24,205,348,0.58908046,2352,6.75862069,25,7,7.290229885,135.3643678,78,-301,-3.9,5,"1"
"Brian Kuklick",5,"Wake Forest","ACC",40,665,1230,0.540650407,8017,6.517886179,44,49,5.440650407,112.6526829,238,-179,-0.8,6,"1"
"Brian Lewerke",3,"Michigan State","Big Ten",17,277,474,0.584388186,3174,6.696202532,22,8,6.864978903,126.6278481,145,708,4.9,5,"1"
"Brian Lindgren",3,"Idaho","Sun Belt",33,513,841,0.609988109,6451,7.670630202,44,28,7.218787158,136.0385256,80,-163,-2,0,"0"
"Brian McClure",4,"Bowling Green State","MAC",44,900,1427,0.630693763,10280,7.203924317,63,58,6.257883672,130.0224247,203,-506,-2.5,4,"0"
"Brian McDonald",4,"Wichita State","Ind",42,362,804,0.450248756,4676,5.815920398,30,32,4.771144279,98.2318408,275,-20,-0.1,9,"0"
"Brian Mitchell",4,"Louisiana","Ind",43,385,843,0.456702254,5447,6.461447212,23,42,4.765124555,98.98552788,678,3335,4.9,47,"0"
"Brian Reader",3,"Idaho","WAC",27,281,506,0.555335968,3343,6.606719368,21,19,5.747035573,117.2158103,72,-27,-0.4,1,"0"
"Brian St. Pierre",4,"Boston College","Big East",44,457,803,0.569115816,5837,7.268991283,48,32,6.671232877,129.7270237,172,419,2.4,2,"1"
"Brian Vye",2,"San Jose State","WAC",16,117,240,0.4875,1527,6.3625,9,8,5.6125,107.9033333,101,239,2.4,2,"0"
"Brock Berlin",4,"Miami (FL)","ACC",37,459,787,0.583227446,5752,7.308767471,45,25,7.022871665,132.2322745,80,-152,-1.9,0,"1"
"Brock Huard",3,"Washington","Pac-10",30,422,776,0.543814433,5742,7.399484536,51,27,7.148195876,131.2664948,114,-39,-0.3,3,"1"
"Brock Nutter",1,"Troy","Ind",11,173,307,0.563517915,2098,6.833876221,14,13,5.840390879,120.3361564,84,-203,-2.4,2,"0"
"Brock Osweiler",3,"Arizona State","Pac-12",25,412,680,0.605882353,5082,7.473529412,33,15,7.451470588,134.9688235,137,221,1.6,4,"1"
"Brodie Croyle",4,"Alabama","SEC",39,488,869,0.561565017,6382,7.344073648,41,22,7.14844649,128.3530495,183,-177,-1,4,"1"
"Brogan Roback",5,"Eastern Michigan","MAC",45,743,1282,0.579563183,8624,6.72698908,57,38,6.282371295,123.2071763,176,227,1.3,5,"0"
"Brooks Bollinger",4,"Wisconsin","Big Ten",46,414,771,0.536964981,5627,7.298313878,38,17,7.291828794,126.8570687,518,1767,3.4,26,"1"
"Browning Nagle",3,"Louisville","Ind",33,333,598,0.556856187,4653,7.780936455,32,21,7.27090301,131.6809365,96,-158,-1.6,3,"0"
"Bruce Gradkowski",4,"Toledo","MAC",49,766,1123,0.682101514,9225,8.21460374,85,27,8.646482636,157.3820125,248,1018,4.1,14,"0"
"Bruce Parker",2,"Pacific","PCAA",23,210,416,0.504807692,2706,6.504807692,21,16,5.783653846,114.0875,111,-332,-3,0,"0"
"Bruce Porter",3,"Ohio","MAC",17,231,421,0.548693587,2428,5.767220903,14,18,4.508313539,105.7368171,50,-208,-4.2,0,"0"
"Bryan Clark",4,"Michigan State","Big Ten",43,204,409,0.498777506,2725,6.662591687,20,20,5.4400978,112.200489,104,30,0.3,1,"1"
"Bryan Cupito",5,"Minnesota","Big Ten",60,513,918,0.558823529,7446,8.111111111,55,25,8.083877996,138.340305,90,3,0,0,"1"
"Bryan Ellis",3,"UAB","CUSA",19,299,542,0.551660517,3697,6.82103321,27,17,6.405904059,122.6287823,36,40,1.1,2,"0"
"Bryan Fortay",2,"Rutgers","Big East",19,174,337,0.516320475,2374,7.044510386,25,18,6.12462908,124.6041543,74,191,2.6,4,"1"
"Bryan Randall",4,"Virginia Tech","ACC",48,490,833,0.588235294,6508,7.81272509,48,31,7.290516206,136.0230492,409,1526,3.7,11,"1"
"Bryant Moniz",3,"Hawaii","WAC",34,791,1271,0.622344611,10169,8.000786782,75,30,8.118804091,144.1932337,220,512,2.3,13,"0"
"Bryant Shirreffs",4,"Connecticut","American",37,509,827,0.61547763,6392,7.729141475,31,19,7.444981862,134.2476421,422,1187,2.8,6,"0"
"Bryce Petty",4,"Baylor","Big 12",37,530,845,0.627218935,8195,9.698224852,62,10,10.63313609,166.0331361,192,338,1.8,21,"1"
"Bryn Renner",4,"North Carolina","ACC",35,668,1005,0.664676617,8221,8.180099502,64,25,8.334328358,151.2202985,164,-93,-0.6,4,"1"
"Bryson Spinner",2,"Virginia","ACC",17,146,267,0.546816479,1770,6.629213483,15,8,6.404494382,122.9138577,92,265,2.9,1,"1"
"Buck Belue",4,"Georgia","SEC",39,264,484,0.545454545,3864,7.983471074,32,32,6.330578512,130.2016529,265,436,1.6,10,"1"
"Buck Pierce",4,"New Mexico State","Sun Belt",41,397,599,0.662771285,4927,8.225375626,30,12,8.325542571,147.8911519,241,734,3,14,"0"
"Buddy Teevens",3,"Dartmouth","Ivy",27,154,259,0.594594595,1808,6.980694981,6,10,5.706563707,118.0200772,109,272,2.5,4,"0"
"Burke St. John",2,"Harvard","Ivy",16,74,162,0.456790123,1050,6.481481481,7,8,5.12345679,104.5061728,59,-23,-0.4,3,"0"
"Butch Kelly",2,"New Mexico State","MVC",22,148,308,0.480519481,2034,6.603896104,10,20,4.331168831,101.2519481,116,-42,-0.4,4,"0"
"Butchie Washington",2,"Akron","MAC",22,274,523,0.523900574,4215,8.059273423,29,20,7.447418738,130.7380497,134,139,1,2,"0"
"Byron Leftwich",5,"Marshall","MAC",61,939,1442,0.651178918,11903,8.254507628,89,28,8.615117892,150.9398058,190,181,1,6,"0"
"Cade McNown",4,"UCLA","Pac-10",47,694,1250,0.5552,10708,8.5664,68,41,8.1784,138.86976,313,577,1.8,16,"1"
"Cale Gundy",4,"Oklahoma","Big 8",44,420,751,0.559254328,6142,8.178428762,35,31,7.252996005,131.7480692,290,247,0.9,16,"0"
"Caleb Evans",2,"Louisiana-Monroe","Sun Belt",18,287,488,0.588114754,3712,7.606557377,21,12,7.360655738,131.9893443,188,736,3.9,14,"0"
"Caleb Hanie",4,"Colorado State","MWC",37,495,811,0.610357583,6337,7.813810111,39,34,6.889025894,134.1563502,248,186,0.8,8,"0"
"Caleb Herring",4,"UNLV","MWC",44,421,708,0.594632768,4388,6.197740113,38,14,6.381355932,125.2813559,243,472,1.9,7,"0"
"Caleb Terbush",3,"Purdue","Big Ten",22,283,476,0.594537815,3077,6.464285714,25,14,6.191176471,125.2033613,134,274,2,3,"1"
"Calvin McCall",2,"Maryland","ACC",18,198,378,0.523809524,2797,7.399470899,10,12,6.5,116.9174603,131,314,2.4,2,"1"
"Cam Newton",3,"Auburn","SEC",20,191,292,0.654109589,2908,9.95890411,30,7,10.93493151,178.1753425,285,1586,5.6,24,"1"
"Cameron Coffman",3,"Wyoming","MWC",23,401,657,0.610350076,4702,7.156773212,33,22,6.654490107,131.030137,83,-123,-1.5,1,"0"
"Cameron Dantley",2,"Syracuse","Big East",19,169,341,0.495601173,1856,5.442815249,16,8,5.325513196,106.0715543,54,-79,-1.5,0,"1"
"Carl Dean",2,"San Jose State","WAC",23,373,671,0.555886736,4663,6.949329359,24,22,6.189269747,119.2089419,155,34,0.2,3,"0"
"Carl Straw",4,"Kansas State","Big 8",32,448,833,0.537815126,5223,6.270108043,19,31,5.051620648,106.5344538,182,-104,-0.6,7,"0"
